id,paintjobFamilies,weaponIds,spriteMap
diableavionics_dra_artassault,DRA,diableavionics_artassault,"graphics/da/weapons/diableavionics_artassault_turret_base.png -> graphics/DRA/weapons/diableavionics_artassault_turret_base.png, graphics/da/weapons/diableavionics_artassault_turret_recoil.png -> graphics/DRA/weapons/diableavionics_artassault_turret_recoil.png, graphics/da/weapons/diableavionics_artassault_hardpoint_base.png -> graphics/DRA/weapons/diableavionics_artassault_hardpoint_base.png, graphics/da/weapons/diableavionics_artassault_hardpoint_recoil.png -> graphics/DRA/weapons/diableavionics_artassault_hardpoint_recoil.png"
diableavionics_lilium_artassault,lilium,diableavionics_artassault,"graphics/da/weapons/diableavionics_artassault_turret_base.png -> graphics/lilium/weapons/diableavionics_artassault_turret_base.png, graphics/da/weapons/diableavionics_artassault_hardpoint_base.png -> graphics/lilium/weapons/diableavionics_artassault_hardpoint_base.png"
diableavionics_ornate_artassault,ornate,diableavionics_artassault,"graphics/da/weapons/diableavionics_artassault_turret_base.png -> graphics/ornate/weapons/diableavionics_artassault_turret_base.png, graphics/da/weapons/diableavionics_artassault_hardpoint_base.png -> graphics/ornate/weapons/diableavionics_artassault_hardpoint_base.png"
diableavionics_royalblue_artassault,royalblue,diableavionics_artassault,"graphics/da/weapons/diableavionics_artassault_turret_base.png -> graphics/royalblue/weapons/diableavionics_artassault_turret_base.png, graphics/da/weapons/diableavionics_artassault_hardpoint_base.png -> graphics/royalblue/weapons/diableavionics_artassault_hardpoint_base.png"
diableavionics_snowblast_artassault,snowblast,diableavionics_artassault,"graphics/da/weapons/diableavionics_artassault_turret_base.png -> graphics/snowblast/weapons/diableavionics_artassault_turret_base.png, graphics/da/weapons/diableavionics_artassault_hardpoint_base.png -> graphics/snowblast/weapons/diableavionics_artassault_hardpoint_base.png"
diableavionics_sunrise_artassault,sunrise,diableavionics_artassault,"graphics/da/weapons/diableavionics_artassault_turret_base.png -> graphics/sunrise/weapons/diableavionics_artassault_turret_base.png, graphics/da/weapons/diableavionics_artassault_turret_recoil.png -> graphics/sunrise/weapons/diableavionics_artassault_turret_recoil.png, graphics/da/weapons/diableavionics_artassault_hardpoint_base.png -> graphics/sunrise/weapons/diableavionics_artassault_hardpoint_base.png, graphics/da/weapons/diableavionics_artassault_hardpoint_recoil.png -> graphics/sunrise/weapons/diableavionics_artassault_hardpoint_recoil.png"
diableavionics_dra_artdeux,DRA,diableavionics_artdeux,"graphics/da/weapons/diableavionics_artdeux_turret.png -> graphics/DRA/weapons/diableavionics_artdeux_turret.png, graphics/da/weapons/diableavionics_artdeux_turret_barrel.png -> graphics/DRA/weapons/diableavionics_artdeux_turret_barrel.png, graphics/da/weapons/diableavionics_artdeux_hardpoint.png -> graphics/DRA/weapons/diableavionics_artdeux_hardpoint.png, graphics/da/weapons/diableavionics_artdeux_hardpoint_barrel.png -> graphics/DRA/weapons/diableavionics_artdeux_hardpoint_barrel.png"
diableavionics_lilium_artdeux,lilium,diableavionics_artdeux,"graphics/da/weapons/diableavionics_artdeux_turret.png -> graphics/lilium/weapons/diableavionics_artdeux_turret.png, graphics/da/weapons/diableavionics_artdeux_hardpoint.png -> graphics/lilium/weapons/diableavionics_artdeux_hardpoint.png"
diableavionics_ornate_artdeux,ornate,diableavionics_artdeux,"graphics/da/weapons/diableavionics_artdeux_turret.png -> graphics/ornate/weapons/diableavionics_artdeux_turret.png, graphics/da/weapons/diableavionics_artdeux_hardpoint.png -> graphics/ornate/weapons/diableavionics_artdeux_hardpoint.png"
diableavionics_royalblue_artdeux,royalblue,diableavionics_artdeux,"graphics/da/weapons/diableavionics_artdeux_turret.png -> graphics/royalblue/weapons/diableavionics_artdeux_turret.png, graphics/da/weapons/diableavionics_artdeux_hardpoint.png -> graphics/royalblue/weapons/diableavionics_artdeux_hardpoint.png"
diableavionics_snowblast_artdeux,snowblast,diableavionics_artdeux,"graphics/da/weapons/diableavionics_artdeux_turret.png -> graphics/snowblast/weapons/diableavionics_artdeux_turret.png, graphics/da/weapons/diableavionics_artdeux_hardpoint.png -> graphics/snowblast/weapons/diableavionics_artdeux_hardpoint.png"
diableavionics_sunrise_artdeux,sunrise,diableavionics_artdeux,"graphics/da/weapons/diableavionics_artdeux_turret.png -> graphics/sunrise/weapons/diableavionics_artdeux_turret.png, graphics/da/weapons/diableavionics_artdeux_turret_barrel.png -> graphics/sunrise/weapons/diableavionics_artdeux_turret_barrel.png, graphics/da/weapons/diableavionics_artdeux_hardpoint.png -> graphics/sunrise/weapons/diableavionics_artdeux_hardpoint.png, graphics/da/weapons/diableavionics_artdeux_hardpoint_barrel.png -> graphics/sunrise/weapons/diableavionics_artdeux_hardpoint_barrel.png"
diableavionics_dra_avalancheArm,DRA,diableavionics_avalancheArm,graphics/da/ships/avalanche/diableavionics_avalanche_arm.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_arm.png
diableavionics_lilium_avalancheArm,lilium,diableavionics_avalancheArm,graphics/da/ships/avalanche/diableavionics_avalanche_arm.png -> graphics/lilium/ships/avalanche/diableavionics_avalanche_arm.png
diableavionics_ornate_avalancheArm,ornate,diableavionics_avalancheArm,graphics/da/ships/avalanche/diableavionics_avalanche_arm.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_arm.png
diableavionics_royalblue_avalancheArm,royalblue,diableavionics_avalancheArm,graphics/da/ships/avalanche/diableavionics_avalanche_arm.png -> graphics/royalblue/ships/avalanche/diableavionics_avalanche_arm.png
diableavionics_snowblast_avalancheArm,snowblast,diableavionics_avalancheArm,graphics/da/ships/avalanche/diableavionics_avalanche_arm.png -> graphics/snowblast/ships/avalanche/diableavionics_avalanche_arm.png
diableavionics_sunrise_avalancheArm,sunrise,diableavionics_avalancheArm,graphics/da/ships/avalanche/diableavionics_avalanche_arm.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_arm.png
diableavionics_dra_avalancheGun,DRA,diableavionics_avalancheGun,"graphics/da/ships/avalanche/diableavionics_avalanche_gun.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_gun.png, graphics/da/ships/avalanche/diableavionics_avalanche_gunBarrel.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_gunBarrel.png"
diableavionics_lilium_avalancheGun,lilium,diableavionics_avalancheGun,graphics/da/ships/avalanche/diableavionics_avalanche_gun.png -> graphics/lilium/ships/avalanche/diableavionics_avalanche_gun.png
diableavionics_ornate_avalancheGun,ornate,diableavionics_avalancheGun,"graphics/da/ships/avalanche/diableavionics_avalanche_gun.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_gun.png, graphics/da/ships/avalanche/diableavionics_avalanche_gunBarrel.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_gunBarrel.png"
diableavionics_royalblue_avalancheGun,royalblue,diableavionics_avalancheGun,graphics/da/ships/avalanche/diableavionics_avalanche_gun.png -> graphics/royalblue/ships/avalanche/diableavionics_avalanche_gun.png
diableavionics_snowblast_avalancheGun,snowblast,diableavionics_avalancheGun,graphics/da/ships/avalanche/diableavionics_avalanche_gun.png -> graphics/snowblast/ships/avalanche/diableavionics_avalanche_gun.png
diableavionics_sunrise_avalancheGun,sunrise,diableavionics_avalancheGun,"graphics/da/ships/avalanche/diableavionics_avalanche_gun.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_gun.png, graphics/da/ships/avalanche/diableavionics_avalanche_gunBarrel.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_gunBarrel.png"
diableavionics_dra_avalancheHead,DRA,diableavionics_avalancheHead,"graphics/da/ships/avalanche/diableavionics_avalanche_head.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_head.png, graphics/da/ships/avalanche/diableavionics_avalanche_headBarrel.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_headBarrel.png"
diableavionics_ornate_avalancheHead,ornate,diableavionics_avalancheHead,"graphics/da/ships/avalanche/diableavionics_avalanche_head.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_head.png, graphics/da/ships/avalanche/diableavionics_avalanche_headBarrel.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_headBarrel.png"
diableavionics_sunrise_avalancheHead,sunrise,diableavionics_avalancheHead,"graphics/da/ships/avalanche/diableavionics_avalanche_head.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_head.png, graphics/da/ships/avalanche/diableavionics_avalanche_headBarrel.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_headBarrel.png"
diableavionics_dra_avalanchePauldronL,DRA,diableavionics_avalanchePauldronL,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronL.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_pauldronL.png
diableavionics_lilium_avalanchePauldronL,lilium,diableavionics_avalanchePauldronL,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronL.png -> graphics/lilium/ships/avalanche/diableavionics_avalanche_pauldronL.png
diableavionics_ornate_avalanchePauldronL,ornate,diableavionics_avalanchePauldronL,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronL.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_pauldronL.png
diableavionics_royalblue_avalanchePauldronL,royalblue,diableavionics_avalanchePauldronL,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronL.png -> graphics/royalblue/ships/avalanche/diableavionics_avalanche_pauldronL.png
diableavionics_snowblast_avalanchePauldronL,snowblast,diableavionics_avalanchePauldronL,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronL.png -> graphics/snowblast/ships/avalanche/diableavionics_avalanche_pauldronL.png
diableavionics_sunrise_avalanchePauldronL,sunrise,diableavionics_avalanchePauldronL,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronL.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_pauldronL.png
diableavionics_dra_avalanchePauldronR,DRA,diableavionics_avalanchePauldronR,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronR.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_pauldronR.png
diableavionics_lilium_avalanchePauldronR,lilium,diableavionics_avalanchePauldronR,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronR.png -> graphics/lilium/ships/avalanche/diableavionics_avalanche_pauldronR.png
diableavionics_ornate_avalanchePauldronR,ornate,diableavionics_avalanchePauldronR,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronR.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_pauldronR.png
diableavionics_royalblue_avalanchePauldronR,royalblue,diableavionics_avalanchePauldronR,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronR.png -> graphics/royalblue/ships/avalanche/diableavionics_avalanche_pauldronR.png
diableavionics_snowblast_avalanchePauldronR,snowblast,diableavionics_avalanchePauldronR,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronR.png -> graphics/snowblast/ships/avalanche/diableavionics_avalanche_pauldronR.png
diableavionics_sunrise_avalanchePauldronR,sunrise,diableavionics_avalanchePauldronR,graphics/da/ships/avalanche/diableavionics_avalanche_pauldronR.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_pauldronR.png
diableavionics_dra_avalancheTorso,DRA,diableavionics_avalancheTorso,graphics/da/ships/avalanche/diableavionics_avalanche_torso.png -> graphics/DRA/ships/avalanche/diableavionics_avalanche_torso.png
diableavionics_lilium_avalancheTorso,lilium,diableavionics_avalancheTorso,graphics/da/ships/avalanche/diableavionics_avalanche_torso.png -> graphics/lilium/ships/avalanche/diableavionics_avalanche_torso.png
diableavionics_ornate_avalancheTorso,ornate,diableavionics_avalancheTorso,graphics/da/ships/avalanche/diableavionics_avalanche_torso.png -> graphics/ornate/ships/avalanche/diableavionics_avalanche_torso.png
diableavionics_royalblue_avalancheTorso,royalblue,diableavionics_avalancheTorso,graphics/da/ships/avalanche/diableavionics_avalanche_torso.png -> graphics/royalblue/ships/avalanche/diableavionics_avalanche_torso.png
diableavionics_snowblast_avalancheTorso,snowblast,diableavionics_avalancheTorso,graphics/da/ships/avalanche/diableavionics_avalanche_torso.png -> graphics/snowblast/ships/avalanche/diableavionics_avalanche_torso.png
diableavionics_sunrise_avalancheTorso,sunrise,diableavionics_avalancheTorso,graphics/da/ships/avalanche/diableavionics_avalanche_torso.png -> graphics/sunrise/ships/avalanche/diableavionics_avalanche_torso.png
diableavionics_dra_banish,DRA,diableavionics_banish,"graphics/da/weapons/diableavionics_banishM_turret.png -> graphics/DRA/weapons/diableavionics_banishM_turret.png, graphics/da/weapons/diableavionics_banishM_hardpoint.png -> graphics/DRA/weapons/diableavionics_banishM_hardpoint.png"
diableavionics_lilium_banish,lilium,diableavionics_banish,"graphics/da/weapons/diableavionics_banishM_turret.png -> graphics/lilium/weapons/diableavionics_banishM_turret.png, graphics/da/weapons/diableavionics_banishM_hardpoint.png -> graphics/lilium/weapons/diableavionics_banishM_hardpoint.png"
diableavionics_ornate_banish,ornate,diableavionics_banish,"graphics/da/weapons/diableavionics_banishM_turret.png -> graphics/ornate/weapons/diableavionics_banishM_turret.png, graphics/da/weapons/diableavionics_banishM_hardpoint.png -> graphics/ornate/weapons/diableavionics_banishM_hardpoint.png"
diableavionics_royalblue_banish,royalblue,diableavionics_banish,"graphics/da/weapons/diableavionics_banishM_turret.png -> graphics/royalblue/weapons/diableavionics_banishM_turret.png, graphics/da/weapons/diableavionics_banishM_hardpoint.png -> graphics/royalblue/weapons/diableavionics_banishM_hardpoint.png"
diableavionics_snowblast_banish,snowblast,diableavionics_banish,"graphics/da/weapons/diableavionics_banishM_turret.png -> graphics/snowblast/weapons/diableavionics_banishM_turret.png, graphics/da/weapons/diableavionics_banishM_hardpoint.png -> graphics/snowblast/weapons/diableavionics_banishM_hardpoint.png"
diableavionics_sunrise_banish,sunrise,diableavionics_banish,"graphics/da/weapons/diableavionics_banishM_turret.png -> graphics/sunrise/weapons/diableavionics_banishM_turret.png, graphics/da/weapons/diableavionics_banishM_hardpoint.png -> graphics/sunrise/weapons/diableavionics_banishM_hardpoint.png"
diableavionics_dra_banishsmall,DRA,diableavionics_banishsmall,"graphics/da/weapons/diableavionics_banish_turret.png -> graphics/DRA/weapons/diableavionics_banish_turret.png, graphics/da/weapons/diableavionics_banish_hardpoint.png -> graphics/DRA/weapons/diableavionics_banish_hardpoint.png"
diableavionics_lilium_banishsmall,lilium,diableavionics_banishsmall,"graphics/da/weapons/diableavionics_banish_turret.png -> graphics/lilium/weapons/diableavionics_banish_turret.png, graphics/da/weapons/diableavionics_banish_hardpoint.png -> graphics/lilium/weapons/diableavionics_banish_hardpoint.png"
diableavionics_ornate_banishsmall,ornate,diableavionics_banishsmall,"graphics/da/weapons/diableavionics_banish_turret.png -> graphics/ornate/weapons/diableavionics_banish_turret.png, graphics/da/weapons/diableavionics_banish_hardpoint.png -> graphics/ornate/weapons/diableavionics_banish_hardpoint.png"
diableavionics_royalblue_banishsmall,royalblue,diableavionics_banishsmall,"graphics/da/weapons/diableavionics_banish_turret.png -> graphics/royalblue/weapons/diableavionics_banish_turret.png, graphics/da/weapons/diableavionics_banish_hardpoint.png -> graphics/royalblue/weapons/diableavionics_banish_hardpoint.png"
diableavionics_snowblast_banishsmall,snowblast,diableavionics_banishsmall,"graphics/da/weapons/diableavionics_banish_turret.png -> graphics/snowblast/weapons/diableavionics_banish_turret.png, graphics/da/weapons/diableavionics_banish_hardpoint.png -> graphics/snowblast/weapons/diableavionics_banish_hardpoint.png"
diableavionics_sunrise_banishsmall,sunrise,diableavionics_banishsmall,"graphics/da/weapons/diableavionics_banish_turret.png -> graphics/sunrise/weapons/diableavionics_banish_turret.png, graphics/da/weapons/diableavionics_banish_hardpoint.png -> graphics/sunrise/weapons/diableavionics_banish_hardpoint.png"
diableavionics_dra_blizzaiaCicada,DRA,diableavionics_blizzaiaCicada,"graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada00.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_cicada00.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada01.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_cicada01.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada02.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_cicada02.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png"
diableavionics_lilium_blizzaiaCicada,lilium,diableavionics_blizzaiaCicada,graphics/da/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png -> graphics/lilium/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png
diableavionics_ornate_blizzaiaCicada,ornate,diableavionics_blizzaiaCicada,"graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada00.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_cicada00.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada01.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_cicada01.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada02.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_cicada02.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png"
diableavionics_royalblue_blizzaiaCicada,royalblue,diableavionics_blizzaiaCicada,graphics/da/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png -> graphics/royalblue/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png
diableavionics_snowblast_blizzaiaCicada,snowblast,diableavionics_blizzaiaCicada,graphics/da/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png -> graphics/snowblast/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png
diableavionics_sunrise_blizzaiaCicada,sunrise,diableavionics_blizzaiaCicada,"graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada00.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_cicada00.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada01.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_cicada01.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicada02.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_cicada02.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_cicadaBarrel.png"
diableavionics_dra_blizzaiaGraveac,DRA,diableavionics_blizzaiaGraveac,"graphics/da/ships/blizzaia/diableavionics_blizzaia_graveac.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_graveac.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_graveacB.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_graveacB.png"
diableavionics_lilium_blizzaiaGraveac,lilium,diableavionics_blizzaiaGraveac,graphics/da/ships/blizzaia/diableavionics_blizzaia_graveac.png -> graphics/lilium/ships/blizzaia/diableavionics_blizzaia_graveac.png
diableavionics_royalblue_blizzaiaGraveac,royalblue,diableavionics_blizzaiaGraveac,graphics/da/ships/blizzaia/diableavionics_blizzaia_graveac.png -> graphics/royalblue/ships/blizzaia/diableavionics_blizzaia_graveac.png
diableavionics_snowblast_blizzaiaGraveac,snowblast,diableavionics_blizzaiaGraveac,graphics/da/ships/blizzaia/diableavionics_blizzaia_graveac.png -> graphics/snowblast/ships/blizzaia/diableavionics_blizzaia_graveac.png
diableavionics_sunrise_blizzaiaGraveac,sunrise,diableavionics_blizzaiaGraveac,"graphics/da/ships/blizzaia/diableavionics_blizzaia_graveac.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_graveac.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_graveacB.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_graveacB.png"
diableavionics_dra_blizzaiaHead,DRA,diableavionics_blizzaiaHead,graphics/da/ships/blizzaia/diableavionics_blizzaia_head.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_head.png
diableavionics_ornate_blizzaiaHead,ornate,diableavionics_blizzaiaHead,graphics/da/ships/blizzaia/diableavionics_blizzaia_head.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_head.png
diableavionics_sunrise_blizzaiaHead,sunrise,diableavionics_blizzaiaHead,graphics/da/ships/blizzaia/diableavionics_blizzaia_head.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_head.png
diableavionics_dra_blizzaiaNocturne,DRA,diableavionics_blizzaiaNocturne,"graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturne.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_nocturne.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturneGlow.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_nocturneGlow.png"
diableavionics_lilium_blizzaiaNocturne,lilium,diableavionics_blizzaiaNocturne,graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturne.png -> graphics/lilium/ships/blizzaia/diableavionics_blizzaia_nocturne.png
diableavionics_ornate_blizzaiaNocturne,ornate,diableavionics_blizzaiaNocturne,"graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturne.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_nocturne.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturneGlow.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_nocturneGlow.png"
diableavionics_royalblue_blizzaiaNocturne,royalblue,diableavionics_blizzaiaNocturne,graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturne.png -> graphics/royalblue/ships/blizzaia/diableavionics_blizzaia_nocturne.png
diableavionics_sunrise_blizzaiaNocturne,sunrise,diableavionics_blizzaiaNocturne,"graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturne.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_nocturne.png, graphics/da/ships/blizzaia/diableavionics_blizzaia_nocturneGlow.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_nocturneGlow.png"
diableavionics_dra_blizzaiaShoulderL,DRA,diableavionics_blizzaiaShoulderL,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderL.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_shoulderL.png
diableavionics_lilium_blizzaiaShoulderL,lilium,diableavionics_blizzaiaShoulderL,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderL.png -> graphics/lilium/ships/blizzaia/diableavionics_blizzaia_shoulderL.png
diableavionics_ornate_blizzaiaShoulderL,ornate,diableavionics_blizzaiaShoulderL,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderL.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_shoulderL.png
diableavionics_royalblue_blizzaiaShoulderL,royalblue,diableavionics_blizzaiaShoulderL,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderL.png -> graphics/royalblue/ships/blizzaia/diableavionics_blizzaia_shoulderL.png
diableavionics_snowblast_blizzaiaShoulderL,snowblast,diableavionics_blizzaiaShoulderL,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderL.png -> graphics/snowblast/ships/blizzaia/diableavionics_blizzaia_shoulderL.png
diableavionics_sunrise_blizzaiaShoulderL,sunrise,diableavionics_blizzaiaShoulderL,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderL.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_shoulderL.png
diableavionics_dra_blizzaiaShoulderR,DRA,diableavionics_blizzaiaShoulderR,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderR.png -> graphics/DRA/ships/blizzaia/diableavionics_blizzaia_shoulderR.png
diableavionics_lilium_blizzaiaShoulderR,lilium,diableavionics_blizzaiaShoulderR,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderR.png -> graphics/lilium/ships/blizzaia/diableavionics_blizzaia_shoulderR.png
diableavionics_ornate_blizzaiaShoulderR,ornate,diableavionics_blizzaiaShoulderR,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderR.png -> graphics/ornate/ships/blizzaia/diableavionics_blizzaia_shoulderR.png
diableavionics_royalblue_blizzaiaShoulderR,royalblue,diableavionics_blizzaiaShoulderR,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderR.png -> graphics/royalblue/ships/blizzaia/diableavionics_blizzaia_shoulderR.png
diableavionics_snowblast_blizzaiaShoulderR,snowblast,diableavionics_blizzaiaShoulderR,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderR.png -> graphics/snowblast/ships/blizzaia/diableavionics_blizzaia_shoulderR.png
diableavionics_sunrise_blizzaiaShoulderR,sunrise,diableavionics_blizzaiaShoulderR,graphics/da/ships/blizzaia/diableavionics_blizzaia_shoulderR.png -> graphics/sunrise/ships/blizzaia/diableavionics_blizzaia_shoulderR.png
